feature,importance
cell_avg_incidents,0.09956270761677027
cell_std_incidents,0.042392385918969884
rolling_mean_14,0.04005807269013331
hour_avg_incidents,0.03881867771664523
momentum,0.037285157996072515
cell_avg_x_hour,0.03686252237506307
cell_max_incidents,0.03577683975233385
cell_total_incidents,0.031382060131775816
hour_cos,0.030245979320083737
hour_sin,0.02902779911568449
hour,0.027761390181128474
day_of_month,0.026925398339542814
rolling_std_14,0.02668523402922615
recent_to_longterm,0.023220775346506822
lag1_x_hour,0.023132314412030047
week_of_year,0.022590602798964715
rolling_std_7,0.021535937842191457
trend_long,0.02124160491772895
trend_short,0.020508509980531622
day_sin,0.01903008147881477
dow_avg_incidents,0.018313055035533723
rolling_max_14,0.01755640267074074
rolling_mean_7,0.017489450330071897
month_sin,0.017331965366571667
month,0.016964793369745042
rolling_max_3,0.016644719371312417
neighbor_sum,0.01638821782727288
month_cos,0.015850353017215272
lag1_to_rolling_mean7,0.01577508313550174
neighbor_mean_x_lag3,0.01525767102947364
day_of_week,0.013441047189915342
rolling_mean_3_x_dow,0.013399750855796436
rolling_std_3,0.013171478106206114
lag_14,0.011950441191950743
day_cos,0.01179349589423281
lag_7,0.011537478339120256
trend_short_x_weekend,0.01094383578572918
rolling_max_7,0.010847379234147225
neighbor_mean,0.010809302575885924
lag1_x_weekend,0.010440266738974606
lag_3,0.008986048729539058
neighbor_max,0.008308833114242435
rolling_mean_3_squared,0.008015745817852672
rolling_mean_3,0.007784799614117108
lag_1,0.00675606635760979
lag_1_squared,0.006029380629882155
rolling_mean_1,0.004942656140043974
is_weekend,0.003972557462010917
rolling_max_1,0.0038839739553045796
weekend_avg_incidents,0.0013696848580001546
rolling_std_1,0.0
